run_time,seed,variant,epoch,train_loss,train_acc,val_loss,val_acc,lr,best_val_acc
2026-02-19T22:27:52,42,resnet18,1,0.572121,0.654475,0.501731,0.673124,0.00030000,0.673124
2026-02-19T22:32:19,42,resnet18,2,0.462097,0.693093,0.414525,0.730935,0.00030000,0.730935
2026-02-19T22:35:42,42,resnet18,3,0.405781,0.723277,0.413440,0.705720,0.00030000,0.730935
2026-02-19T22:39:01,42,resnet18,4,0.371005,0.736721,0.403695,0.726322,0.00015000,0.730935
2026-02-19T22:40:37,42,resnet18,5,0.280609,0.782786,0.311141,0.768758,0.00015000,0.768758
2026-02-19T22:43:16,42,resnet18,6,0.231374,0.808554,0.362484,0.747540,0.00015000,0.768758
2026-02-19T22:46:18,42,resnet18,7,0.207551,0.823843,0.329938,0.768143,0.00007500,0.768758
2026-02-19T22:47:53,42,resnet18,8,0.146731,0.860090,0.297381,0.792743,0.00007500,0.792743
2026-02-19T22:49:26,42,resnet18,9,0.130015,0.877422,0.284375,0.798585,0.00007500,0.798585
2026-02-19T22:50:59,42,resnet18,10,0.108279,0.892052,0.311156,0.789668,0.00007500,0.798585
