run_time,seed,variant,epoch,train_loss,train_acc,val_loss,val_acc,lr,best_val_acc
2026-02-19T21:21:23,42,resnet50,1,0.554244,0.671609,0.495135,0.692497,0.00030000,0.692497
2026-02-19T21:24:53,42,resnet50,2,0.390101,0.735271,0.375096,0.743235,0.00030000,0.743235
2026-02-19T21:27:45,42,resnet50,3,0.318182,0.770529,0.334525,0.755228,0.00030000,0.755228
2026-02-19T21:30:42,42,resnet50,4,0.261473,0.797614,0.323919,0.773370,0.00030000,0.773370
2026-02-19T21:33:56,42,resnet50,5,0.229577,0.817385,0.339176,0.773370,0.00030000,0.773370
2026-02-19T21:37:11,42,resnet50,6,0.185931,0.839133,0.320551,0.773063,0.00015000,0.773370
2026-02-19T21:40:30,42,resnet50,7,0.110269,0.891261,0.268906,0.816728,0.00015000,0.816728
2026-02-19T21:43:46,42,resnet50,8,0.081620,0.916897,0.259208,0.817958,0.00015000,0.817958
2026-02-19T21:46:01,42,resnet50,9,0.072026,0.925860,0.284521,0.797970,0.00015000,0.817958
2026-02-19T21:47:36,42,resnet50,10,0.060627,0.937195,0.258255,0.828413,0.00015000,0.828413
2026-02-19T23:19:33,42,resnet50,1,0.550938,0.668907,0.456780,0.696494,0.00030000,0.696494
2026-02-19T23:21:08,42,resnet50,2,0.390581,0.733821,0.414228,0.728782,0.00030000,0.728782
2026-02-19T23:22:42,42,resnet50,3,0.319537,0.769013,0.368424,0.746925,0.00030000,0.746925
2026-02-19T23:24:16,42,resnet50,4,0.269306,0.798405,0.315481,0.777060,0.00030000,0.777060
2026-02-19T23:25:49,42,resnet50,5,0.229658,0.815078,0.329241,0.759840,0.00030000,0.777060
2026-02-19T23:27:24,42,resnet50,6,0.188898,0.836035,0.325619,0.771525,0.00015000,0.777060
2026-02-19T23:28:57,42,resnet50,7,0.110015,0.891789,0.268895,0.817036,0.00015000,0.817036
2026-02-19T23:31:49,42,resnet50,8,0.082783,0.913998,0.260083,0.814268,0.00015000,0.817036
2026-02-19T23:35:07,42,resnet50,9,0.071173,0.925662,0.258435,0.816728,0.00007500,0.817036
2026-02-19T23:38:17,42,resnet50,10,0.047829,0.951035,0.255375,0.841328,0.00007500,0.841328
